hour,orders,share
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,22,0.0008494208494208494
7,31,0.001196911196911197
8,624,0.02409266409266409
9,1824,0.07042471042471042
10,2961,0.11432432432432432
11,3165,0.1222007722007722
12,3961,0.15293436293436294
13,3369,0.13007722007722008
14,3137,0.12111969111969112
15,3069,0.1184942084942085
16,1952,0.07536679536679537
17,1205,0.046525096525096524
18,333,0.012857142857142857
19,219,0.008455598455598456
20,28,0.001081081081081081
21,0,0.0
22,0,0.0
23,0,0.0
